,DDINDIENIN,OMSCHRIJVI,TYPE,geometry,x,y
331,2005-12-01,"Kerstland 2005, Martiniplaza, Leonard Springerlaan 2",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.555379958441701 53.20264986170115),6.555379958441701,53.202649861701154
332,2010-12-03,"Kerstplaza 2010, Martiniplaza, Klinkhamer Catering 25 dec t/m 2 jan 2011",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.555379958441701 53.20264986170115),6.555379958441701,53.202649861701154
333,2015-11-30,"Kerstplaza 25 dec 2015 t/m 3 jan 2016, Martiniplaza, L. Springerlaan",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.555379958441701 53.20264986170115),6.555379958441701,53.202649861701154
334,2016-01-06,"Boumaboulevard 527, Plaza Sportiva, Jacuzzi nieuwjaarsfeest leden, 7-2-2016",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.591822701196659 53.20739303967628),6.591822701196659,53.20739303967628
335,2012-08-14,"Theatervoorstelling Aap Noot Boom, Suikerunie terrein, 1&2 sept, 5&6 sept en 7,8&9 sept 2012",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
336,2016-02-09,"Bowa Loodsfeest, Gyas, Hoornsediep WZ 199, 8 april 2016",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.563215285998025 53.20208393143943),6.563215285998025,53.20208393143943
337,2002-03-28,"P.C. Hooftlaan 1, aanvraag D&H verg. i.v.m. verbouwing",Drank- en Horecavergunning,POINT (6.574145232242896 53.19613595635945),6.574145232242896,53.19613595635945
338,2008-11-28,"Kerstmarkt Claremaheerd Beijum, 19 december 2008",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.601066085455125 53.24852626227881),6.601066085455125,53.24852626227881
339,2006-04-21,"Koninginnedag 2006, &Zo, Poelestraat 53-55",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.572247801908378 53.21833025319229),6.572247801908378,53.21833025319229
340,2012-06-05,"Lustrum RKSV Albertus Magnus, lokatie Osloweg 16 2 (extra lokatie) 12 t/m 21 juli 2012",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.598716285915812 53.21431823144625),6.598716285915812,53.21431823144625
341,2004-01-09,CCLA schuitendiep 15 in januari twee keer op 10 en 24,Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.571811249198515 53.2192258150794),6.571811249198515,53.219225815079405
342,2014-10-02,"Raffinage, Helpeton en Let's Gro, Wolkenfabriek, Van Heemskerckstraat 101, 17 t/m 19 okt, 14 t/m 16 nov en 21&22 nov 2014",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
343,2014-10-02,"Let's Gro 21  nov. 2014, Wolkenfabriek, Van Heemskerckstraat 101",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
344,2006-08-11,"Opening hoofdkantoor Gallagher Europe, 22 september 2006",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.603307152875757 53.20365849188988),6.6033071528757565,53.203658491889875
345,2002-07-09,"WK Bobstart 2002, Grote Markt",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.571199488865028 53.21821716044902),6.5711994888650285,53.218217160449015
346,2013-08-15,"Stichting de Wolkenfabriek, diverse weekeinden sept/okt 2013, Suikerunie terrein, 
Van Heemskerckstraat 101",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
347,2016-08-11,"Timmerdorp, Energieweg 10, De Wolkenfabriek, laatste dag 26 augustus 2016",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.537501641651191 53.21037125912727),6.537501641651191,53.21037125912727
348,1998-01-01,"Mandaat D&H Jaltadaheerd 53, 'De Beyumkorf'",Drank- en Horecavergunning,POINT (6.587806413040577 53.25071780585581),6.587806413040577,53.25071780585581
349,2004-06-14,"Poelestraat 22, EK Voetbal 2004",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570127856922427 53.21841909902666),6.570127856922427,53.21841909902666
350,2004-08-19,bommen berend,Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570127856922427 53.21841909902666),6.570127856922427,53.21841909902666
351,2004-04-19,"Koninginnedag 2004, Bar Players, Poelestraat 22",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570127856922427 53.21841909902666),6.570127856922427,53.21841909902666
352,2010-08-13,"Gronings Ontzet 28 augustus 2010, Gedempte Zuiderdiep 148&150, Kale Jonker",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.562142421894395 53.21459814315778),6.562142421894395,53.21459814315778
353,2004-08-16,"Gronings Ontzet 2004, 't Waegstuk",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.572379177115621 53.21834479683953),6.572379177115621,53.21834479683953
354,2005-10-18,"Kerkhofstraat 2, Stichting Syntax Error, 28 oktober 2005",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.565083317517113 53.2263833942441),6.5650833175171135,53.226383394244095
355,2008-01-31,"Het Kasteel, Peperstraat 25, Koninginnencht en -dag, 29+30-04-08",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.570898420500096 53.21747169776286),6.570898420500096,53.21747169776286
356,2002-10-11,"Poelestraat 22, Bar Players, i.v.m. toevoeging leidinggevenden",Drank- en Horecavergunning,POINT (6.570127856922427 53.21841909902666),6.570127856922427,53.21841909902666
357,2012-02-02,"28 april 2012, Pintelier, Kleine Kromme Elleboog 9",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.561705341008432 53.21855062420474),6.561705341008432,53.21855062420474
358,2013-05-02,"Eemskanaal NZ 48 (EMG), CBK-Time Shift Festival, 23-05 t/m 02-06-13",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.589412738208382 53.22041862010742),6.589412738208382,53.220418620107424
359,2001-01-01,"Mandaat D&H Kooiweg 1, 'Kantine Chr. VV Oranje Nassau'",Drank- en Horecavergunning,POINT (6.598466477196042 53.19603605503806),6.598466477196042,53.196036055038064
360,2002-04-22,"Kleine Kromme Elleboog 9, koninginnedag 2002",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.561705341008432 53.21855062420474),6.561705341008432,53.21855062420474
361,2004-06-07,"EK Voetbal 2004, Pintelier, Kleine Kromme Elleboog 9",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.561705341008432 53.21855062420474),6.561705341008432,53.21855062420474
